location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude
nss_shelters-357285,357285,Bay Area Chinese Bible Church,1803 North Loop Road,ALAMEDA,ALAMEDA,CA,94502,CLOSED,state,USA-CA,,,USA-CA,37.7276197,-122.2391408
nss_shelters-174251,174251,Bay Model/US Army Corp Eng,2100 Bridgeway,SAUSALITO,MARIN,CA,94965,CLOSED,state,USA-CA,,,USA-CA,37.86264707,-122.49549995
nss_shelters-169579,169579,Belvedere Community Center,450 San Rafael Avenue,BELVEDERE TIBURON,MARIN,CA,94920,CLOSED,state,USA-CA,,,USA-CA,37.87468,-122.46669466
nss_shelters-169669,169669,Bolinas Stinson School,125 Olema/Bolinas Rd.,BOLINAS,MARIN,CA,94924,CLOSED,state,USA-CA,,,USA-CA,37.90992443,-122.68808976
nss_shelters-363643,363643,Burlingame Lions Club,990 Burlingame Avenue,BURLINGAME,SAN MATEO,CA,94010,CLOSED,state,USA-CA,,,USA-CA,37.5813975,-122.3437103
nss_shelters-169786,169786,Burlingame Recreation Center,850 Burlingame Ave,BURLINGAME,San Mateo,CA,94010,CLOSED,state,USA-CA,,,USA-CA,37.58201363,-122.34221051
nss_shelters-170103,170103,CHAUTAUQUA HALL,16TH & CENTRAL AVE,PACIFIC GROVE,MONTEREY,CA,93950,CLOSED,state,USA-CA,,,USA-CA,36.62218522,-121.91781145
nss_shelters-169906,169906,Camp Ocean Pines,1473 Randall Dr.,CAMBRIA,SAN LUIS OBISPO,CA,93428,CLOSED,state,USA-CA,,,USA-CA,35.5435024,-121.08313269
nss_shelters-170099,170099,Chase Palm Park Center,236 E Cabrillo Blvd,SANTA BARBARA,SANTA BARBARA,CA,93101,CLOSED,state,USA-CA,,,USA-CA,34.41402588,-119.68725899
nss_shelters-363829,363829,City Gym and Pool,1600 Palm Avenue,HUNTINGTON BEACH,ORANGE,CA,92648,CLOSED,state,USA-CA,,,USA-CA,33.6695855,-118.0060287
nss_shelters-170277,170277,Commonweal,451 Mesa Road,BOLINAS,MARIN,CA,94924,CLOSED,state,USA-CA,,,USA-CA,37.91934932,-122.70917886
nss_shelters-364741,364741,Crosswalk Community Church,2590 First Street,NAPA,NAPA,CA,94559,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-170449,170449,Dana Middle School,1501 S. CABRILLO AVE.,SAN PEDRO,LOS ANGELES,CA,90731,CLOSED,state,USA-CA,,,USA-CA,33.73060409,-118.29458688
nss_shelters-170638,170638,East Palo Alto Charter School*,1286 Runnymede Street,EAST PALO ALTO,SANTA CLARA,CA,94303,CLOSED,state,USA-CA,,,USA-CA,37.46872603,-122.12734449
nss_shelters-170805,170805,Ethel Dwyer Middle School,1502 Palm Avenue,HUNTINGTON BEACH,ORANGE,CA,92648,CLOSED,state,USA-CA,,,USA-CA,33.66874872,-118.00560774
nss_shelters-364752,364752,Fireside Church Santa Cruz,311 Second St,SANTA CRUZ,SANTA CRUZ,CA,95060,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-171024,171024,Fort Mason Center Festival Pavillion Pier 3,99 Marina Blvd,SAN FRANCISCO,SAN FRANCISCO,CA,94123,CLOSED,state,USA-CA,,,USA-CA,37.80500952,-122.43366257
nss_shelters-171025,171025,Fort Mason Center Herbst Pavillion Pier 2,99 Marina Blvd,SAN FRANCISCO,SAN FRANCISCO,CA,94123,CLOSED,state,USA-CA,,,USA-CA,37.80500952,-122.43366257
nss_shelters-356797,356797,Foster City Community Center,1000 E Hillsdale Blvd,FOSTER CITY,SAN MATEO,CA,94404,CLOSED,state,USA-CA,,,USA-CA,37.55878,-122.270268
nss_shelters-356794,356794,Foster City Teen Center: The Vibe,670 Shell Blvd,FOSTER CITY,SAN MATEO,CA,94404,CLOSED,state,USA-CA,,,USA-CA,37.5566658,-122.2684064
nss_shelters-171041,171041,Francisco Middle School,2190 Powell Street,San Francisco,San Francisco,CA,94133,CLOSED,state,USA-CA,,,USA-CA,37.80482066,-122.41176407
nss_shelters-171098,171098,Galileo High School,1150 Francisco Street,San Francisco,San Francisco,CA,94109,CLOSED,state,USA-CA,,,USA-CA,37.80334578,-122.42411177
nss_shelters-171134,171134,George Washington High School,600 32nd Avenue,San Francisco,San Francisco,CA,94121,CLOSED,state,USA-CA,,,USA-CA,37.77778704,-122.4921095
